State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Suryapet,2023-03-06,2023,03,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-03-07,2023,03,0.0254684319,NRSC VIC MODEL
Telangana,Suryapet,2023-03-09,2023,03,0.0003706782,NRSC VIC MODEL
Telangana,Suryapet,2023-03-24,2023,03,0.2487041949,NRSC VIC MODEL
Telangana,Suryapet,2023-03-26,2023,03,0.2917116828,NRSC VIC MODEL
Telangana,Suryapet,2023-03-27,2023,03,0.2175283261,NRSC VIC MODEL
Telangana,Suryapet,2023-04-04,2023,04,0.0495254699,NRSC VIC MODEL
Telangana,Suryapet,2023-04-06,2023,04,0.0765215838,NRSC VIC MODEL
Telangana,Suryapet,2023-04-08,2023,04,-0.0109425896,NRSC VIC MODEL
Telangana,Suryapet,2023-04-09,2023,04,1.4184e-06,NRSC VIC MODEL
Telangana,Suryapet,2023-04-15,2023,04,0.0018207024,NRSC VIC MODEL
Telangana,Suryapet,2023-04-17,2023,04,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-04-20,2023,04,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-04-23,2023,04,2.8079797465,NRSC VIC MODEL
Telangana,Suryapet,2023-05-01,2023,05,22.1584451243,NRSC VIC MODEL
Telangana,Suryapet,2023-05-03,2023,05,5.6693015533,NRSC VIC MODEL
Telangana,Suryapet,2023-05-04,2023,05,4.9353955171,NRSC VIC MODEL
Telangana,Suryapet,2023-05-19,2023,05,0.0012319276,NRSC VIC MODEL
Telangana,Suryapet,2023-06-06,2023,06,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-06-09,2023,06,0.1055989987,NRSC VIC MODEL
Telangana,Suryapet,2023-06-24,2023,06,20.9010597825,NRSC VIC MODEL
Telangana,Suryapet,2023-06-28,2023,06,3.1722641235,NRSC VIC MODEL
Telangana,Suryapet,2023-07-01,2023,07,0.027750739,NRSC VIC MODEL
Telangana,Suryapet,2023-07-05,2023,07,12.75086583,NRSC VIC MODEL
Telangana,Suryapet,2023-07-10,2023,07,16.9899369721,NRSC VIC MODEL
Telangana,Suryapet,2023-07-12,2023,07,8.4854281414,NRSC VIC MODEL
Telangana,Suryapet,2023-07-15,2023,07,2.9725938694,NRSC VIC MODEL
Telangana,Suryapet,2023-07-24,2023,07,3.712130182,NRSC VIC MODEL
Telangana,Suryapet,2023-07-25,2023,07,52.6075947391,NRSC VIC MODEL
Telangana,Suryapet,2023-07-29,2023,07,0.1720138485,NRSC VIC MODEL
Telangana,Suryapet,2023-08-11,2023,08,1.3149443801,NRSC VIC MODEL
Telangana,Suryapet,2023-08-13,2023,08,4.7130270432,NRSC VIC MODEL
Telangana,Suryapet,2023-08-16,2023,08,0.0500694698,NRSC VIC MODEL
Telangana,Suryapet,2023-08-23,2023,08,2.2036932995,NRSC VIC MODEL
Telangana,Suryapet,2023-09-01,2023,09,0.0003321905,NRSC VIC MODEL
Telangana,Suryapet,2023-09-10,2023,09,2.7253069558,NRSC VIC MODEL
Telangana,Suryapet,2023-09-21,2023,09,9.1279194918,NRSC VIC MODEL
Telangana,Suryapet,2023-09-23,2023,09,0.1177222024,NRSC VIC MODEL
Telangana,Suryapet,2023-09-28,2023,09,0.1359040142,NRSC VIC MODEL
Telangana,Suryapet,2023-10-21,2023,10,0.0006751807,NRSC VIC MODEL
Telangana,Suryapet,2023-10-24,2023,10,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-10-26,2023,10,0.0027356474,NRSC VIC MODEL
Telangana,Suryapet,2023-10-27,2023,10,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-11-03,2023,11,3.9322283171,NRSC VIC MODEL
Telangana,Suryapet,2023-11-04,2023,11,0.0020009872,NRSC VIC MODEL
Telangana,Suryapet,2023-11-20,2023,11,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-11-23,2023,11,3.8938010651,NRSC VIC MODEL
